train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,Train_AverageReturn,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,Initial_DataCollection_AverageReturn,step
50,47,50,3,97,77.75471698113208,46.11916707931434,59,14,167,360,360,360,0,720,527.5472,684.28973,200,0,3740,450001,4497.069854259491,7.2,20.497805,0,0,200,6.784761,38.698486,0,0,1600,30,450000
68,0,68,68,68,78.03773585,38.22276426530619,80,15,161,220,0,220,220,220,417.1698,421.0919,270,0,2370,460001,4595.821475028992,3.235294,4.678228,0,0,10,5.3457446,21.530563,0,0,810,30,460000
57.5,40.5,57.5,17,98,79.11538461538461,38.55997019935503,77.5,21,191,270,230,270,40,500,402.5,377.54202,290,10,1860,470001,4695.500851,4.695652,6.5037436,0,0,50,5.0875063,23.12601,0,0,810,30,470000
41.333333333333336,31.03045099396541,42,3,79,91.64444444444445,43.406172400583024,92,30,196,100,72.5718,130,0,170,596.8889,528.5697,390,20,2010,480001,4793.522181034088,2.419355,4.466897,0,0,20,6.513094,33.01404,0,0,810,30,480000
82,62,82,20,144,79.40384615384616,45.753629370703656,86,19,201,210,170,210,40,380,409.42307,412.85315,220,20,2120,490001,4891.848841667175,2.5609756,16.215845,0,0,200,5.1562123,22.540962,0,0,800,30,490000
95,0,95,95,95,88.46808510638297,37.36584574511965,88,16,169,340,0,340,340,340,397.65958,231.7667,420,0,860,500001,4990.817855834961,3.5789473,4.7938094,0,0,10,4.4949493,11.941106,0,0,210,30,500000
124,0,124,124,124,79.15094339622641,42.44881322714479,76,18,171,550,0,550,550,550,555.6604,545.4253,420,30,2520,510001,5089.811285972595,4.435484,19.481268,0,0,210,7.0202622,36.106564,0,0,810,30,510000
48,7,48,41,55,84.06,44.27975158015229,80.5,21,175,150,50,150,100,200,536,496.45544,415,0,1890,520001,5187.768825,3.125,4.635124,0,0,10,6.3763976,31.260735,0,0,800,30,520000
102,0,102,102,102,77.09259259,42.01642911,64,14,182,440,0,440,440,440,464.25925,466.03766,265,0,2170,530001,5286.126765012741,4.3137255,20.412891,0,0,200,6.0220995,28.773998,0,0,810,30,530000
83,0,83,83,83,73.14035087719299,41.995588154451276,58,14,197,970,0,970,970,970,375.78946,385.30438,200,0,1640,540001,5384.432925462723,11.686747,49.034515,0,0,400,5.137923,17.876911,0,0,410,30,540000
54.333333333333336,35.64952859280034,50,13,100,80.86274509803921,37.02411488017661,85,26,201,283.33334,289.40552,120,40,690,384.31372,287.68347,320,30,1280,550001,5485.627425670624,5.214724,17.172434,0,0,210,4.7526674,15.751831,0,0,400,30,550000
98,77,98,21,175,76,42.31495664130539,79,15,201,530,530,530,0,1060,457.22223,410.0425,340,0,1320,560001,5584.452392101288,5.408163,16.14149,0,0,210,6.016082,25.7138,0,0,410,30,560000
91,48,91,43,139,80.47058823529412,42.568677125358256,74,5,201,795,695,795,100,1490,496.07843,561.47595,330,0,2120,570001,5685.732665777206,8.736263,34.863106,0,0,410,6.164717,29.007427,0,0,800,30,570000
57,23,57,34,80,76.05454545454545,41.15532360651565,82,19,201,250,80,250,170,330,388.36365,402.79822,220,0,2040,580001,5785.101125001907,4.385965,7.137139,0,0,60,5.106383,18.344902,0,0,400,30,580000
73,34,73,39,107,78.84615384615384,36.04344846868559,83.5,16,172,1025,905,1025,120,1930,471.92307,396.53323,405,30,1880,590001,5883.405411243439,14.041096,75.12162,0,0,800,5.985366,29.00933,0,0,800,30,590000
52.333333333333336,32.25247621845836,38,22,97,79.67307692307692,43.98501543526201,83.5,5,201,213.33333,259.2725,30,30,580,430.96155,420.94794,330,0,2140,600001,5982.152841329575,4.076433,17.628704,0,0,210,5.409124,23.449154,0,0,800,30,600000
97.5,84.5,97.5,13,182,79.57692307692308,47.828357437276985,85.5,2,201,535,485,535,50,1020,446.34616,427.8705,290,0,1750,610001,6080.896903514862,5.4871793,6.804492,10,0,50,5.6089897,25.516012,0,0,800,30,610000
63,27,63,36,90,80.52941176470588,44.71055187171802,81,15,201,315,175,315,140,490,452.35294,583.9943,310,0,3640,620001,6179.450970411301,5,6.516158,0,0,50,5.617239,25.060484,0,0,800,30,620000
54.5,28.5,54.5,26,83,83.75510204081633,35.91346209547981,85,16,174,560,480,560,80,1040,491.42856,550.5619,480,0,3640,630001,6277.840837478638,10.275229,44.483967,0,0,400,5.8674464,33.262028,0,0,1600,30,630000
84.5,48.5,84.5,36,133,78.80769231,44.096065785413096,71,2,201,280,110,280,170,390,456.53845,504.82623,255,0,2240,640001,6376.409757137299,3.3136094,5.830129,0,0,50,5.79307,27.55124,0,0,810,30,640000
75,0,75,75,75,85.5,38.824927559494554,90.5,20,201,160,0,160,160,160,451.66666,299.21658,520,20,1090,650001,6476.8631472587585,2.1333334,6.591576,0,0,50,5.282651,16.91822,0,0,400,30,650000
46.5,44.5,46.5,2,91,81.45098039215686,45.13566206,70,23,201,350,350,350,0,700,520.9804,616.57574,170,20,2420,660001,6576.894248962402,7.5268817,22.175055,0,0,210,6.3962445,30.602802,0,0,800,30,660000
57,44.773504069557326,50,6,115,84.16326530612245,41.319732371051565,81,32,201,313.33334,415.15726,40,0,900,484.08163,553.45636,340,0,2510,670001,6676.793852090836,5.497076,16.478367,0,0,200,5.7516975,28.292713,0,0,810,30,670000
84.5,56.5,84.5,28,141,84.34693877551021,37.71620721317657,87,24,201,755,255,755,500,1010,465.91837,382.6221,340,0,1360,680001,6774.704496383667,8.934911,38.153248,0,0,410,5.523833,22.662115,0,0,400,30,680000
48.5,25.5,48.5,23,74,87.57446808510639,38.80981707394163,87,18,192,80,80,80,0,160,491.27658,372.5394,480,10,1690,690001,6871.54671,1.6494845,3.7113404,0,0,10,5.609815,21.649483,0,0,410,30,690000
71,31,71,40,102,84.08163265306122,45.110221808589664,86,12,201,340,120,340,220,460,445.10205,444.03125,270,0,2100,700001,6970.131521463394,4.7887325,6.24819,0,0,50,5.2936893,21.004187,0,0,400,30,700000
55.666666666666664,42.89781139198388,47,8,112,86.30612245,51.20076692730481,77,2,201,423.33334,556.7964,60,0,1210,594.2857,686.8414,170,0,2990,710001,7068.656924247742,7.60479,35.210392,0,0,410,6.8857884,30.634056,0,0,800,30,710000
46.5,39.5,46.5,7,86,82.36,47.252411578669715,84.5,1,201,125,125,125,0,250,538,510.21957,355,0,2300,720001,7167.30132,2.688172,4.433447,0,0,10,6.532297,31.564674,0,0,810,30,720000
99,37,99,62,136,90.48936170212765,42.153151539344705,95,20,201,485,265,485,220,750,592.55316,537.56134,530,30,2650,730001,7266.414753198624,4.8989897,16.658783,0,0,200,6.548319,29.564314,0,0,810,30,730000
48,37.47888294315436,41,6,97,83.91836734693878,47.33719111481549,81,16,201,236.66667,300.03702,50,0,660,446.93878,416.25247,230,0,1460,740001,7364.199913978577,4.9305553,17.400368,0,0,200,5.3258753,19.63779,0,0,410,30,740000
120,0,120,120,120,82.42,44.374357460136814,83,22,201,1710,0,1710,1710,1710,510.6,515.862,405,0,1990,750001,7463.1547021865845,14.25,82.77139,0,0,800,6.1950984,28.701323,0,0,810,30,750000
60.5,50.5,60.5,10,111,86.41666666666667,43.266535053728944,86.5,21,182,530,530,530,0,1060,597.9167,558.21124,390,20,2730,760001,7561.66543,8.76033,40.422775,0,0,400,6.9189973,33.674892,0,0,800,30,760000
62.5,17.5,62.5,45,80,83.84,49.82945313767752,78.5,19,199,255,25,255,230,280,424.8,428.51483,250,0,1870,770001,7661.6586990356445,4.08,6.461703,0,0,50,5.066794,18.47464,0,0,410,30,770000
79.5,47.5,79.5,32,127,83.79591836734694,49.457043654203034,81,2,201,495,495,495,0,990,490.8163,510.38135,300,0,2270,780001,7759.540024757385,6.226415,18.923191,0,0,200,5.857282,26.083124,0,0,810,30,780000
38,27,38,11,65,89.97826086956522,37.34998348782289,94,26,201,105,105,105,0,210,499.13043,418.87442,525,0,2010,790001,7859.390572071075,2.7631578,5.0259023,0,0,20,5.5472336,26.670048,0,0,810,30,790000
84,54,84,30,138,79.78846153846153,49.120079138334184,57.5,18,201,650,570,650,80,1220,510.96155,651.2658,170,0,2960,800001,7961.985298,7.7380953,38.042934,0,0,400,6.4039526,29.843117,0,0,800,30,800000
95,0,95,95,95,73.12280701754386,32.452432220604564,83,14,154,470,0,470,470,470,478.42105,339.3688,500,20,1170,810001,8061.209797620773,4.9473686,21.119894,0,0,200,6.5427065,26.953793,0,0,410,30,810000
